                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15
                        l                     n_pg                      n_p                      n_g                Re(omega)                Im(omega)                 Re(freq)                 Im(freq)                        E                      E_p                      E_g                   E_norm                   M_star                   R_star                   L_star
                        1                     -390                        7                      397  0.1102668013804383E+002  0.0000000000000000E+000  0.3721156964873828E+002  0.0000000000000000E+000  0.9999999999999963E+000  0.6636812905336544E+000  0.2864921479759277E+000  0.5229295686015142E-005  0.1989000000000000E+034  0.6658928436909399E+012  0.0000000000000000E+000
                        1                        2                        3                        4                        5                        6                        7                        8
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                      M_r                        P                      rho
  0.0000000000000000E+000  0.9438142136018504E+002  0.0000000000000000E+000  0.9438142136018502E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.1520491696325398E+022  0.1592050022628199E+006
  0.2084615493246500E-006  0.9434544876139348E+002  0.0000000000000000E+000  0.9430947642050586E+002  0.0000000000000000E+000  0.1783759246653668E+022  0.1520953764223088E+022  0.1592049976913690E+006
  0.2432051408787550E-006  0.9433246046656757E+002  0.0000000000000000E+000  0.9428350382321528E+002  0.0000000000000000E+000  0.2832543600906180E+022  0.1520953738941885E+022  0.1592049960405661E+006
  0.2779487324328600E-006  0.9431747573838747E+002  0.0000000000000000E+000  0.9425354011301607E+002  0.0000000000000000E+000  0.4228170009484309E+022  0.1520953709740371E+022  0.1592049941357932E+006
  0.3126923239869700E-006  0.9430049519145962E+002  0.0000000000000000E+000  0.9421958736210942E+002  0.0000000000000000E+000  0.6020187327806947E+022  0.1520953676661727E+022  0.1592049919770515E+006
  0.3474359155410800E-006  0.9428151956607903E+002  0.0000000000000000E+000  0.9418164789658734E+002  0.0000000000000000E+000  0.8258144407498521E+022  0.1520953639691474E+022  0.1592049895643408E+006
  0.4169230986492900E-006  0.9423758656463032E+002  0.0000000000000000E+000  0.9409381944671934E+002  0.0000000000000000E+000  0.1427007323567018E+023  0.1520953554075874E+022  0.1592049839770120E+006
  0.4918701713092400E-006  0.9418126909140585E+002  0.0000000000000000E+000  0.9398125390714891E+002  0.0000000000000000E+000  0.2343202264684765E+023  0.1520953444284074E+022  0.1592049768119136E+006
  0.5514196549271350E-006  0.9412992044788007E+002  0.0000000000000000E+000  0.9387864083704227E+002  0.0000000000000000E+000  0.3301452364462294E+023  0.1520953344138191E+022  0.1592049702763172E+006
  0.6109691385450299E-006  0.9407273354682583E+002  0.0000000000000000E+000  0.9376438436054585E+002  0.0000000000000000E+000  0.4490721452753004E+023  0.1520953232559945E+022  0.1592049629946374E+006
  0.7300681057808200E-006  0.9394087625199745E+002  0.0000000000000000E+000  0.9350103484553695E+002  0.0000000000000000E+000  0.7662110263419660E+023  0.1520952975106339E+022  0.1592049461930232E+006
  0.8491670730166100E-006  0.9378576739320806E+002  0.0000000000000000E+000  0.9319141590213157E+002  0.0000000000000000E+000  0.1205695595759443E+024  0.1520952671923236E+022  0.1592049264070664E+006
  0.9682660402524001E-006  0.9360748959000124E+002  0.0000000000000000E+000  0.9283577495832108E+002  0.0000000000000000E+000  0.1787484565858282E+024  0.1520952323010729E+022  0.1592049036367720E+006
  0.1087365024600900E-005  0.9340613773212961E+002  0.0000000000000000E+000  0.9243439607811059E+002  0.0000000000000000E+000  0.2531536752486083E+024  0.1520951928368876E+022  0.1592048778821405E+006
  0.1206464008949400E-005  0.9318181900136716E+002  0.0000000000000000E+000  0.9198759986900470E+002  0.0000000000000000E+000  0.3457810769428656E+024  0.1520951487997654E+022  0.1592048491431720E+006
  0.1444662007759700E-005  0.9266477081951045E+002  0.0000000000000000E+000  0.9095921764000890E+002  0.0000000000000000E+000  0.5936859307506469E+024  0.1520950470066892E+022  0.1592047827122122E+006
  0.1682860040300300E-005  0.9205744312003978E+002  0.0000000000000000E+000  0.8975390972321281E+002  0.0000000000000000E+000  0.9384299681281610E+024  0.1520949269218750E+022  0.1592047043438960E+006
  0.1921058110788900E-005  0.9136112524084788E+002  0.0000000000000000E+000  0.8837551767799890E+002  0.0000000000000000E+000  0.1395980116385155E+025  0.1520947885453145E+022  0.1592046140382290E+006
  0.2159256223201600E-005  0.9057729309107073E+002  0.0000000000000000E+000  0.8682842959469279E+002  0.0000000000000000E+000  0.1982303274667910E+025  0.1520946318770862E+022  0.1592045117952142E+006
  0.2397454382459000E-005  0.8970760514091383E+002  0.0000000000000000E+000  0.8511756392862679E+002  0.0000000000000000E+000  0.2713366312855556E+025  0.1520944569171708E+022  0.1592043976148493E+006
  0.2635652593285600E-005  0.8875389788356013E+002  0.0000000000000000E+000  0.8324835143137089E+002  0.0000000000000000E+000  0.3605136065705947E+025  0.1520942636655936E+022  0.1592042714971433E+006
  0.2873850860850100E-005  0.8771818079611339E+002  0.0000000000000000E+000  0.8122671521256821E+002  0.0000000000000000E+000  0.4673579331334120E+025  0.1520940521224106E+022  0.1592041334420912E+006
  0.3112049190372200E-005  0.8660263083241870E+002  0.0000000000000000E+000  0.7905904902565732E+002  0.0000000000000000E+000  0.5934662866816899E+025  0.1520938222876324E+022  0.1592039834497015E+006
  0.3350247586986100E-005  0.8540958646352684E+002  0.0000000000000000E+000  0.7675219385346382E+002  0.0000000000000000E+000  0.7404353383800620E+025  0.1520935741612922E+022  0.1592038215199753E+006
  0.3588446055818500E-005  0.8414154128516512E+002  0.0000000000000000E+000  0.7431341288470838E+002  0.0000000000000000E+000  0.9098617544992607E+025  0.1520933077434367E+022  0.1592036476529202E+006
  0.3826644602003700E-005  0.8280113721384757E+002  0.0000000000000000E+000  0.7175036498195541E+002  0.0000000000000000E+000  0.1103342196050982E+026  0.1520930230341073E+022  0.1592034618485314E+006
  0.4064843230677100E-005  0.8139115729306057E+002  0.0000000000000000E+000  0.6907107674511343E+002  0.0000000000000000E+000  0.1322473318411107E+026  0.1520927200333503E+022  0.1592032641068171E+006
  0.4303041946973400E-005  0.7991451813203379E+002  0.0000000000000000E+000  0.6628391328000403E+002  0.0000000000000000E+000  0.1568851770944075E+026  0.1520923987411888E+022  0.1592030544277859E+006
  0.4541240756027500E-005  0.7837426200080016E+002  0.0000000000000000E+000  0.6339754778680356E+002  0.0000000000000000E+000  0.1844074196629469E+026  0.1520920591576980E+022  0.1592028328114365E+006
  0.4779439662974300E-005  0.7677354860627651E+002  0.0000000000000000E+000  0.6042093008765882E+002  0.0000000000000000E+000  0.2149737231687549E+026  0.1520917012829264E+022  0.1592025992577783E+006
  0.5017638672948600E-005  0.7511564657500641E+002  0.0000000000000000E+000  0.5736325421678325E+002  0.0000000000000000E+000  0.2487437505205017E+026  0.1520913251169107E+022  0.1592023537668109E+006
  0.5255837791085300E-005  0.7340392466906827E+002  0.0000000000000000E+000  0.5423392519981876E+002  0.0000000000000000E+000  0.2858771638760923E+026  0.1520909306597117E+022  0.1592020963385412E+006
  0.5494037022519400E-005  0.7164184276242266E+002  0.0000000000000000E+000  0.5104252515227670E+002  0.0000000000000000E+000  0.3265336246052634E+026  0.1520905179114016E+022  0.1592018269729802E+006
